Date,Close,Volume,Open,High,Low,stock
3/18/2019,$230.39 ,2734096,$232.29 ,$232.50 ,$229.11 ,MA
3/15/2019,$231.17 ,3894233,$228.82 ,$232.76 ,$228.81 ,MA
3/14/2019,$229.51 ,2838114,$228.70 ,$230.21 ,$227.41 ,MA
3/13/2019,$228.50 ,2684591,$228.37 ,$231.33 ,$227.80 ,MA
3/12/2019,$226.94 ,2478667,$226.59 ,$228.20 ,$226.22 ,MA
3/11/2019,$225.64 ,2670116,$222.94 ,$226.13 ,$222.84 ,MA
3/8/2019,$221.87 ,2689762,$218.38 ,$222.19 ,$215.93 ,MA
3/7/2019,$222.41 ,3879628,$223.62 ,$224.44 ,$220.74 ,MA
3/6/2019,$224.47 ,2588164,$225.85 ,$226.51 ,$223.95 ,MA
3/5/2019,$226.22 ,2434457,$226.23 ,$226.92 ,$225.29 ,MA
3/4/2019,$226.29 ,2969974,$227.31 ,$228.50 ,$223.67 ,MA
3/1/2019,$227.25 ,2995227,$226.88 ,$228.15 ,$225.36 ,MA
2/28/2019,$224.77 ,3202405,$224.09 ,$225.60 ,$223.66 ,MA
2/27/2019,$224.57 ,2119436,$223.04 ,$224.61 ,$221.74 ,MA
2/26/2019,$224 ,2723580,$222.16 ,$225.18 ,$222.05 ,MA
2/25/2019,$223.32 ,3090312,$225 ,$225.40 ,$223 ,MA
2/22/2019,$223.32 ,3295309,$220 ,$223.63 ,$219.70 ,MA
2/21/2019,$219.31 ,3376353,$220.21 ,$221.03 ,$218.62 ,MA
2/20/2019,$221.11 ,2819557,$221.22 ,$221.83 ,$219.40 ,MA
2/19/2019,$220.59 ,2836710,$221.43 ,$221.96 ,$220.36 ,MA
2/15/2019,$222.11 ,2746395,$222.19 ,$222.35 ,$220.48 ,MA
2/14/2019,$219.81 ,2774982,$219.51 ,$220.98 ,$218.62 ,MA
2/13/2019,$220.54 ,2995611,$219.79 ,$221.28 ,$219.44 ,MA
2/12/2019,$218.91 ,3343981,$218.56 ,$219.49 ,$217.64 ,MA
2/11/2019,$217.10 ,2867772,$216.99 ,$218.65 ,$216.34 ,MA
2/8/2019,$216.58 ,3219155,$212 ,$216.63 ,$212 ,MA
2/7/2019,$213.97 ,2731289,$213.46 ,$214.45 ,$211.60 ,MA
2/6/2019,$215.30 ,2669046,$215.25 ,$215.90 ,$213.68 ,MA
2/5/2019,$215.86 ,3027332,$215 ,$216.70 ,$214.95 ,MA
2/4/2019,$214.91 ,4387260,$214.35 ,$214.95 ,$213.20 ,MA
2/1/2019,$213.77 ,6449583,$211.99 ,$214.64 ,$211.20 ,MA
1/31/2019,$211.13 ,11247890,$209.80 ,$212.97 ,$208 ,MA
1/30/2019,$204.02 ,4058542,$200.42 ,$204.83 ,$199.90 ,MA
1/29/2019,$199.24 ,3629326,$200.19 ,$200.67 ,$197.66 ,MA
1/28/2019,$200.16 ,3118276,$200.74 ,$200.98 ,$198.06 ,MA
1/25/2019,$202.94 ,4677494,$202.19 ,$203.89 ,$200.99 ,MA
1/24/2019,$199.79 ,2767575,$198.42 ,$200.20 ,$197.93 ,MA
1/23/2019,$198.35 ,3053942,$201.05 ,$201.06 ,$196.60 ,MA
1/22/2019,$199.46 ,4280552,$199.79 ,$201 ,$197.65 ,MA
1/18/2019,$202 ,4866384,$201.18 ,$202.53 ,$200.02 ,MA
1/17/2019,$199.31 ,2764062,$197.45 ,$200.40 ,$197.10 ,MA
1/16/2019,$197.77 ,3534724,$197.51 ,$198.41 ,$196.50 ,MA
1/15/2019,$196.52 ,3783002,$195.22 ,$197.35 ,$193.10 ,MA
1/14/2019,$195.43 ,3336460,$194.38 ,$197 ,$194 ,MA
1/11/2019,$195.90 ,2499944,$196.07 ,$196.70 ,$194.71 ,MA
1/10/2019,$196.95 ,3693522,$193.03 ,$197.24 ,$191.32 ,MA
1/9/2019,$195.77 ,5470704,$194.30 ,$196.55 ,$193.28 ,MA
1/8/2019,$192.28 ,5069211,$189.90 ,$192.49 ,$188.50 ,MA
1/7/2019,$191.22 ,4219125,$190.63 ,$193.02 ,$189.71 ,MA
1/4/2019,$189.76 ,4452314,$184.85 ,$191.25 ,$184.44 ,MA
1/3/2019,$181.18 ,5070826,$187.50 ,$187.51 ,$180.98 ,MA
1/2/2019,$189.74 ,4290737,$185.83 ,$190.82 ,$185.31 ,MA
12/31/2018,$188.65 ,3657659,$186.92 ,$189 ,$186.36 ,MA
