Date,Close,Volume,Open,High,Low,stock
8/30/2013,$280.98 ,1534706,$284.59 ,$284.87 ,$280 ,AMZN
8/29/2013,$283.98 ,1566414,$281.45 ,$285.98 ,$280 ,AMZN
8/28/2013,$281.58 ,1457146,$280.36 ,$283 ,$279.33 ,AMZN
8/27/2013,$280.93 ,2475209,$283.87 ,$285.28 ,$279.74 ,AMZN
8/26/2013,$286.21 ,1717000,$290.43 ,$291.05 ,$285.62 ,AMZN
8/23/2013,$290.01 ,1967485,$291.21 ,$291.50 ,$287.90 ,AMZN
8/22/2013,$289.73 ,1422586,$284.80 ,$289.87 ,$284.80 ,AMZN
8/21/2013,$284.57 ,1815071,$285.09 ,$288.50 ,$283.83 ,AMZN
8/20/2013,$287.09 ,1585260,$285.88 ,$289.52 ,$285.74 ,AMZN
8/19/2013,$285.57 ,2477429,$285.19 ,$289.56 ,$283.48 ,AMZN
8/16/2013,$284.82 ,2419819,$286.55 ,$288.33 ,$284.50 ,AMZN
8/15/2013,$286.47 ,2261393,$288.79 ,$289.30 ,$285.15 ,AMZN
8/14/2013,$291.34 ,1414671,$294.29 ,$294.29 ,$290.54 ,AMZN
8/13/2013,$293.97 ,2349902,$295.88 ,$296.37 ,$290.67 ,AMZN
8/12/2013,$296.69 ,1504525,$295.79 ,$299.08 ,$295.26 ,AMZN
8/9/2013,$297.26 ,1950286,$295.68 ,$299.27 ,$294.30 ,AMZN
8/8/2013,$295.74 ,2343430,$298.52 ,$298.52 ,$292.55 ,AMZN
8/7/2013,$296.91 ,1960889,$300.15 ,$300.99 ,$296.15 ,AMZN
8/6/2013,$300.75 ,1848951,$300.51 ,$301.36 ,$297.52 ,AMZN
8/5/2013,$300.99 ,2232858,$303.40 ,$303.62 ,$298.30 ,AMZN
8/2/2013,$304.21 ,2502646,$304.63 ,$305.33 ,$301.50 ,AMZN
8/1/2013,$305.57 ,2965318,$303.08 ,$306.21 ,$298.91 ,AMZN
7/31/2013,$301.22 ,1891314,$303.91 ,$305.15 ,$301 ,AMZN
7/30/2013,$302.41 ,3053425,$307.72 ,$309.78 ,$301.57 ,AMZN
7/29/2013,$306.10 ,3211811,$311.07 ,$313 ,$305.90 ,AMZN
7/26/2013,$312.01 ,8815447,$299.55 ,$313.62 ,$295.55 ,AMZN
7/25/2013,$303.40 ,5368682,$299 ,$304.50 ,$296.75 ,AMZN
7/24/2013,$298.94 ,1999034,$303.02 ,$303.84 ,$298.04 ,AMZN
7/23/2013,$301.06 ,1999094,$303.16 ,$305.06 ,$300.56 ,AMZN
7/22/2013,$303.48 ,2520563,$309.25 ,$309.25 ,$302 ,AMZN
7/19/2013,$305.23 ,2962549,$304.39 ,$305.79 ,$301.91 ,AMZN
7/18/2013,$304.11 ,3058835,$306.27 ,$306.34 ,$301.87 ,AMZN
7/17/2013,$308.69 ,2028181,$306.97 ,$308.80 ,$305.69 ,AMZN
7/16/2013,$306.87 ,2658650,$307.30 ,$309.39 ,$305.51 ,AMZN
7/15/2013,$306.57 ,2245087,$307.27 ,$307.99 ,$304.35 ,AMZN
7/12/2013,$307.55 ,4538273,$298.69 ,$307.55 ,$298.50 ,AMZN
7/11/2013,$299.66 ,4007101,$294.99 ,$300.69 ,$292.10 ,AMZN
7/10/2013,$292.33 ,1822057,$291.41 ,$293.34 ,$289.40 ,AMZN
7/9/2013,$291.53 ,2748223,$291 ,$292.57 ,$288.01 ,AMZN
7/8/2013,$290.59 ,3045854,$286.42 ,$291.67 ,$286.14 ,AMZN
7/5/2013,$285.88 ,1985323,$285 ,$286.38 ,$282.07 ,AMZN
7/3/2013,$284.03 ,1380205,$282 ,$285.40 ,$282 ,AMZN
7/2/2013,$283.73 ,3237708,$281.04 ,$286.58 ,$280.59 ,AMZN
7/1/2013,$282.10 ,2887790,$279 ,$283.29 ,$277.16 ,AMZN
6/28/2013,$277.69 ,3193262,$276.19 ,$279.83 ,$276.19 ,AMZN
6/27/2013,$277.55 ,2518588,$279.18 ,$280.20 ,$274.54 ,AMZN
6/26/2013,$277.57 ,3028916,$273.98 ,$277.98 ,$273.50 ,AMZN
6/25/2013,$272.09 ,2447760,$272.30 ,$273.47 ,$269 ,AMZN
6/24/2013,$270.61 ,3863364,$271.29 ,$273.16 ,$265 ,AMZN
6/21/2013,$273.36 ,4202058,$274.57 ,$275.84 ,$269.79 ,AMZN
6/20/2013,$273.44 ,2983983,$275.14 ,$278.60 ,$272.39 ,AMZN
6/19/2013,$278.16 ,2827148,$281.26 ,$283.34 ,$277.87 ,AMZN
6/18/2013,$281.76 ,2124505,$279.08 ,$282.91 ,$278.11 ,AMZN
6/17/2013,$278.06 ,2883867,$276.35 ,$280.20 ,$275.65 ,AMZN
6/14/2013,$273.99 ,2150179,$275 ,$277.07 ,$273.44 ,AMZN
6/13/2013,$275.79 ,2649515,$271.50 ,$276.80 ,$270.29 ,AMZN
6/12/2013,$271.67 ,2237998,$276.60 ,$276.80 ,$270.45 ,AMZN
6/11/2013,$274.78 ,3097245,$276 ,$278.41 ,$274.24 ,AMZN
6/10/2013,$281.07 ,3080473,$276.68 ,$282.47 ,$275.24 ,AMZN
6/7/2013,$276.87 ,4631159,$269.74 ,$280.10 ,$269.13 ,AMZN
6/6/2013,$267.83 ,2468870,$267.75 ,$270.50 ,$264.21 ,AMZN
6/5/2013,$267.17 ,3511955,$265.81 ,$271.66 ,$265.02 ,AMZN
6/4/2013,$265.70 ,2088072,$267 ,$268.88 ,$263.02 ,AMZN
6/3/2013,$266.88 ,2543272,$268.96 ,$269.11 ,$262.95 ,AMZN
5/31/2013,$269.20 ,3373088,$266 ,$271.91 ,$265.94 ,AMZN
5/30/2013,$266.83 ,1667069,$265.71 ,$268.57 ,$265.62 ,AMZN
5/29/2013,$265.53 ,1901987,$265.46 ,$268.25 ,$264.84 ,AMZN
5/28/2013,$267.29 ,3470157,$266.48 ,$271.10 ,$266 ,AMZN
5/24/2013,$261.74 ,1696120,$259.85 ,$261.93 ,$258.34 ,AMZN
5/23/2013,$261.80 ,2000141,$260.49 ,$263.17 ,$259.59 ,AMZN
5/22/2013,$262.96 ,3331960,$267.39 ,$267.59 ,$260.80 ,AMZN
5/21/2013,$268.86 ,1740656,$268.74 ,$270.77 ,$267.66 ,AMZN
5/20/2013,$267.63 ,2208934,$269 ,$271.79 ,$266.50 ,AMZN
5/17/2013,$269.90 ,2527271,$265.83 ,$269.98 ,$265 ,AMZN
5/16/2013,$264.12 ,1637688,$265.96 ,$268.43 ,$263.85 ,AMZN
5/15/2013,$266.56 ,2719587,$267.07 ,$269.05 ,$264.56 ,AMZN
5/14/2013,$268.33 ,2698767,$264.50 ,$269.40 ,$264.03 ,AMZN
5/13/2013,$264.51 ,2149398,$262.77 ,$265.88 ,$262 ,AMZN
5/10/2013,$263.63 ,3144719,$260.88 ,$263.65 ,$260.21 ,AMZN
5/9/2013,$260.16 ,2769255,$258.73 ,$263.55 ,$256.88 ,AMZN
5/8/2013,$258.68 ,2674938,$256.87 ,$260.30 ,$255.33 ,AMZN
5/7/2013,$257.73 ,3133399,$256.31 ,$259.74 ,$252.91 ,AMZN
5/6/2013,$255.72 ,2347669,$258.09 ,$259.50 ,$253.42 ,AMZN
5/3/2013,$258.05 ,3513514,$256.14 ,$259.25 ,$254.70 ,AMZN
5/2/2013,$252.55 ,3918918,$248.94 ,$252.93 ,$245.78 ,AMZN
5/1/2013,$248.23 ,4390652,$253.90 ,$254.20 ,$245.75 ,AMZN
4/30/2013,$253.81 ,4248690,$249.37 ,$254.68 ,$248.56 ,AMZN
4/29/2013,$249.74 ,7108663,$254.90 ,$257.01 ,$249.15 ,AMZN
4/26/2013,$254.81 ,14026370,$269.97 ,$272.02 ,$252.81 ,AMZN
4/25/2013,$274.70 ,5837868,$271.53 ,$275.80 ,$270.50 ,AMZN
4/24/2013,$268.78 ,1851290,$269.50 ,$271.47 ,$266.81 ,AMZN
4/23/2013,$268.90 ,2270014,$264.50 ,$269.87 ,$264.50 ,AMZN
4/22/2013,$263.55 ,2101281,$259.35 ,$264.60 ,$258.03 ,AMZN
4/19/2013,$260.32 ,2601570,$258.16 ,$262.88 ,$257.50 ,AMZN
4/18/2013,$259.42 ,3137451,$266.81 ,$266.99 ,$256.60 ,AMZN
4/17/2013,$267.40 ,3135091,$270.80 ,$270.85 ,$264.25 ,AMZN
4/16/2013,$272.34 ,2136703,$269.31 ,$272.80 ,$268.06 ,AMZN
4/15/2013,$267.72 ,3323032,$271.08 ,$275.12 ,$267.10 ,AMZN
4/12/2013,$272.87 ,2865875,$270.12 ,$273.27 ,$267.02 ,AMZN
4/11/2013,$269.85 ,3090366,$264.74 ,$270.97 ,$264.74 ,AMZN
4/10/2013,$264.77 ,2321007,$261.78 ,$265.98 ,$259.32 ,AMZN
4/9/2013,$261.14 ,2156382,$258.85 ,$262.61 ,$257 ,AMZN
4/8/2013,$258.95 ,2295573,$255.92 ,$259.68 ,$255.63 ,AMZN
4/5/2013,$255.48 ,2556957,$255.72 ,$256.18 ,$253.67 ,AMZN
4/4/2013,$259.08 ,1964277,$259.23 ,$260.41 ,$256.12 ,AMZN
4/3/2013,$259.03 ,2413113,$262.12 ,$263.67 ,$257.75 ,AMZN
4/2/2013,$263.32 ,2630881,$262.40 ,$265.89 ,$260.55 ,AMZN
4/1/2013,$261.61 ,2524625,$266.98 ,$267.40 ,$261.01 ,AMZN
3/28/2013,$266.49 ,2473257,$265.82 ,$267.38 ,$264.06 ,AMZN
3/27/2013,$265.30 ,2874824,$258.75 ,$265.93 ,$257.90 ,AMZN
3/26/2013,$260.31 ,2420504,$257.05 ,$261.48 ,$256.28 ,AMZN
3/25/2013,$256.02 ,2513758,$258.58 ,$259.43 ,$254.50 ,AMZN
3/22/2013,$257.75 ,3120954,$254.55 ,$257.77 ,$252.07 ,AMZN
3/21/2013,$253.39 ,2801078,$256.11 ,$257 ,$252.68 ,AMZN
3/20/2013,$257.28 ,2734401,$258.05 ,$259.76 ,$254.55 ,AMZN
3/19/2013,$256.41 ,3737690,$258.40 ,$259.50 ,$252.62 ,AMZN
3/18/2013,$257.89 ,2719453,$259.30 ,$261.49 ,$257.12 ,AMZN
3/15/2013,$261.82 ,4865199,$264.98 ,$267.26 ,$260.05 ,AMZN
3/14/2013,$265.74 ,5225850,$269.67 ,$270 ,$263.53 ,AMZN
3/13/2013,$275.10 ,1884015,$275.24 ,$276.50 ,$272.64 ,AMZN
3/12/2013,$274.13 ,3245906,$271 ,$277.40 ,$270.36 ,AMZN
3/11/2013,$271.24 ,1904365,$273.43 ,$273.99 ,$270.40 ,AMZN
3/8/2013,$274.19 ,1879762,$275 ,$275.44 ,$271.50 ,AMZN
3/7/2013,$273.88 ,1938987,$274.10 ,$274.80 ,$271.85 ,AMZN
3/6/2013,$273.79 ,2050334,$275.76 ,$276.49 ,$271.83 ,AMZN
3/5/2013,$275.59 ,3684813,$274 ,$276.68 ,$269.99 ,AMZN
3/4/2013,$273.11 ,3451448,$265.36 ,$273.30 ,$264.14 ,AMZN
3/1/2013,$265.74 ,2956724,$263.27 ,$266.60 ,$261.04 ,AMZN
2/28/2013,$264.27 ,2666299,$261.81 ,$267 ,$260.63 ,AMZN
2/27/2013,$263.25 ,2906804,$259.40 ,$265.83 ,$256.86 ,AMZN
2/26/2013,$259.36 ,3347611,$260.89 ,$262.04 ,$255.73 ,AMZN
2/25/2013,$259.87 ,3032009,$266.94 ,$268.69 ,$259.65 ,AMZN
2/22/2013,$265.42 ,3122802,$266.62 ,$267.11 ,$261.61 ,AMZN
2/21/2013,$265.94 ,3633797,$265.12 ,$269.48 ,$263.25 ,AMZN
2/20/2013,$266.41 ,3528862,$270.20 ,$274.30 ,$266.37 ,AMZN
2/19/2013,$269.75 ,2853252,$265.91 ,$270.11 ,$264.50 ,AMZN
2/15/2013,$265.09 ,3979632,$267.63 ,$268.92 ,$263.11 ,AMZN
2/14/2013,$269.24 ,3461880,$267.37 ,$270.65 ,$265.40 ,AMZN
2/13/2013,$269.47 ,5290202,$261.53 ,$269.96 ,$260.30 ,AMZN
2/12/2013,$258.70 ,2931544,$259.19 ,$260.16 ,$257 ,AMZN
2/11/2013,$257.21 ,3401493,$263.20 ,$263.25 ,$256.60 ,AMZN
2/8/2013,$261.95 ,3879078,$261.40 ,$265.25 ,$260.56 ,AMZN
2/7/2013,$260.23 ,3975097,$264.10 ,$264.10 ,$255.11 ,AMZN
2/6/2013,$262.22 ,2766166,$265.16 ,$266.89 ,$261.11 ,AMZN
2/5/2013,$266.89 ,4009815,$262 ,$268.03 ,$261.46 ,AMZN
2/4/2013,$259.98 ,3723293,$262.78 ,$264.68 ,$259.07 ,AMZN
2/1/2013,$265 ,6112456,$268.93 ,$268.93 ,$262.80 ,AMZN
1/31/2013,$265.50 ,6769474,$271.04 ,$275.94 ,$263.70 ,AMZN
1/30/2013,$272.76 ,13062990,$283 ,$284.20 ,$267.11 ,AMZN
1/29/2013,$260.35 ,9831883,$275.35 ,$275.46 ,$258.35 ,AMZN
1/28/2013,$276.04 ,4317763,$283.78 ,$284.48 ,$274.40 ,AMZN
1/25/2013,$283.99 ,4957365,$275 ,$284.72 ,$274.40 ,AMZN
1/24/2013,$273.62 ,3411246,$269.37 ,$276.65 ,$269.37 ,AMZN
1/23/2013,$268.11 ,2498471,$270.57 ,$271.09 ,$266.65 ,AMZN
1/22/2013,$270.19 ,2135542,$271.62 ,$272.10 ,$269.23 ,AMZN
1/18/2013,$272.12 ,2940348,$270.83 ,$274.50 ,$269.60 ,AMZN
1/17/2013,$270.48 ,1883293,$271.50 ,$271.97 ,$269.21 ,AMZN
1/16/2013,$268.93 ,2062629,$270.53 ,$271.24 ,$267.83 ,AMZN
1/15/2013,$271.90 ,2326204,$270.68 ,$272.73 ,$269.30 ,AMZN
1/14/2013,$272.73 ,4260740,$268 ,$274.26 ,$267.54 ,AMZN
1/11/2013,$267.94 ,2413064,$265.10 ,$268.43 ,$264.11 ,AMZN
1/10/2013,$265.34 ,2863098,$268.54 ,$268.74 ,$262.30 ,AMZN
1/9/2013,$266.35 ,2262402,$268.17 ,$269.50 ,$265.40 ,AMZN
1/8/2013,$266.38 ,3008773,$267.07 ,$268.98 ,$263.57 ,AMZN
1/7/2013,$268.46 ,4909389,$262.97 ,$269.73 ,$262.67 ,AMZN
1/4/2013,$259.15 ,1874011,$257.58 ,$259.80 ,$256.65 ,AMZN
1/3/2013,$258.48 ,2750470,$257.27 ,$260.88 ,$256.37 ,AMZN
1/2/2013,$257.31 ,3270560,$256.08 ,$258.10 ,$253.26 ,AMZN
12/31/2012,$250.87 ,3418645,$243.75 ,$252.41 ,$242.75 ,AMZN
12/28/2012,$245.18 ,1856145,$245.85 ,$247.44 ,$245.05 ,AMZN
12/27/2012,$248.31 ,3638544,$248.28 ,$249.35 ,$242.86 ,AMZN
12/26/2012,$248.63 ,4150607,$257.15 ,$257.42 ,$248.04 ,AMZN
12/24/2012,$258.62 ,986435,$257.30 ,$259.50 ,$256.96 ,AMZN
12/21/2012,$256.92 ,4702802,$257.82 ,$258.38 ,$255.74 ,AMZN
12/20/2012,$261.50 ,2544960,$258.36 ,$262.41 ,$256.54 ,AMZN
12/19/2012,$257.99 ,2299965,$261.30 ,$261.67 ,$257.68 ,AMZN
12/18/2012,$260.40 ,4960511,$254.57 ,$263.11 ,$254.57 ,AMZN
12/17/2012,$253.86 ,2276362,$249.81 ,$254 ,$249.26 ,AMZN
